shift,z_dist,strain,gap
0.4,6.428571428571429,0.9976923076923077,"(0.798036260003767, 1.3578608337537976, 0.5598245737500306)"
0.4,6.428571428571429,0.9992307692307693,"(0.7752904508096407, 1.3249646318196744, 0.5496741810100337)"
0.4,6.428571428571429,1.0007692307692309,"(0.7525391045389623, 1.2917322023519087, 0.5391930978129463)"
0.4,6.428571428571429,1.0023076923076923,"(0.7296203903813048, 1.2585478038063416, 0.5289274134250368)"
0.4,6.428571428571429,1.0038461538461538,"(0.7070802514672748, 1.226094221849707, 0.5190139703824322)"
0.4,6.428571428571429,1.0053846153846153,"(0.6840079203431843, 1.192750885425185, 0.5087429650820007)"
0.4,6.428571428571429,1.006923076923077,"(0.6621709279756813, 1.1605085139997882, 0.4983375860241068)"
0.4,6.428571428571429,1.0084615384615385,"(0.6392989607384812, 1.1276552633758468, 0.4883563026373655)"
0.4,6.428571428571429,1.01,"(0.6170499158907939, 1.0952127376582934, 0.47816282176749947)"
0.4,6.5,0.99,"(0.9478911718398892, 1.510936916807502, 0.5630457449676127)"
0.4,6.5,0.9915384615384615,"(0.9232259353047303, 1.4770664074946693, 0.553840472189939)"
0.4,6.5,0.9930769230769231,"(0.8981731778675462, 1.44296988878315, 0.5447967109156037)"
0.4,6.5,0.9946153846153846,"(0.8756736648647835, 1.4102924666726684, 0.5346188018078849)"
0.4,6.5,0.9961538461538462,"(0.8492494116096426, 1.3751686599059132, 0.5259192482962706)"
0.4,6.5,0.9976923076923077,"(0.824753205314546, 1.3410254502935819, 0.5162722449790359)"
0.4,6.5,0.9992307692307693,"(0.8012657096421959, 1.3084373186874516, 0.5071716090452557)"
0.4,6.5,1.0007692307692309,"(0.776047228713185, 1.2736963241892443, 0.49764909547605923)"
0.4,6.5,1.0023076923076923,"(0.7542055107405465, 1.2414157203557632, 0.4872102096152166)"
0.4,6.5,1.0038461538461538,"(0.729912226458526, 1.2078659401415999, 0.4779537136830739)"
0.4,6.5,1.0053846153846153,"(0.7069430880116663, 1.1751986026658934, 0.4682555146542271)"
0.4,6.5,1.006923076923077,"(0.6851737548962914, 1.1433132925735794, 0.458139537677288)"
0.4,6.5,1.0084615384615385,"(0.662021699499505, 1.1103598998250492, 0.4483382003255442)"
0.4,6.5,1.01,"(0.6403771056779475, 1.0788093258428224, 0.43843222016487493)"
0.4,6.571428571428571,0.99,"(0.9746186550745374, 1.4951254703560868, 0.5205068152815494)"
0.4,6.571428571428571,0.9915384615384615,"(0.9473827646778118, 1.4602381569688614, 0.5128553922910496)"
0.4,6.571428571428571,0.9930769230769231,"(0.9233859938397351, 1.4270034558962545, 0.5036174620565195)"
0.4,6.571428571428571,0.9946153846153846,"(0.8968070823714851, 1.391917145973158, 0.4951100636016729)"
