distance,shift,gap
6.802631578947368141e+00,4.210526315789473450e-01,8.956925674143805249e-01
6.842105263157894690e+00,4.210526315789473450e-01,8.997090200795702097e-01
6.881578947368421240e+00,4.210526315789473450e-01,8.958598595195987890e-01
6.921052631578946901e+00,4.210526315789473450e-01,8.925921650610157965e-01
6.960526315789473450e+00,4.210526315789473450e-01,8.884101162259402384e-01
7.000000000000000000e+00,4.210526315789473450e-01,8.846029801001720205e-01
6.250000000000000000e+00,4.736842105263157632e-01,7.336496527397703415e-01
6.289473684210526550e+00,4.736842105263157632e-01,7.508140083990032521e-01
6.328947368421052211e+00,4.736842105263157632e-01,7.677390629921712062e-01
6.368421052631578760e+00,4.736842105263157632e-01,7.836528574923821155e-01
6.407894736842105310e+00,4.736842105263157632e-01,7.983068956389447468e-01
6.447368421052631859e+00,4.736842105263157632e-01,8.125766324040590849e-01
6.486842105263157521e+00,4.736842105263157632e-01,8.242257910262231757e-01
6.526315789473684070e+00,4.736842105263157632e-01,8.361465074182761192e-01
6.565789473684210620e+00,4.736842105263157632e-01,8.469272758269439372e-01
6.605263157894737169e+00,4.736842105263157632e-01,8.566299846041844912e-01
6.644736842105262831e+00,4.736842105263157632e-01,8.664354887474920996e-01
6.684210526315789380e+00,4.736842105263157632e-01,8.753928810104245617e-01
6.723684210526315930e+00,4.736842105263157632e-01,8.825856163283769540e-01
6.763157894736842479e+00,4.736842105263157632e-01,8.906300610296491449e-01
6.802631578947368141e+00,4.736842105263157632e-01,8.966888428327481897e-01
6.842105263157894690e+00,4.736842105263157632e-01,8.994201293848369527e-01
6.881578947368421240e+00,4.736842105263157632e-01,8.956805975820456567e-01
6.921052631578946901e+00,4.736842105263157632e-01,8.924300824008070121e-01
6.960526315789473450e+00,4.736842105263157632e-01,8.882442827151262321e-01
7.000000000000000000e+00,4.736842105263157632e-01,8.845140883632887085e-01
6.250000000000000000e+00,5.263157894736841813e-01,7.336496484835824949e-01
6.289473684210526550e+00,5.263157894736841813e-01,7.508140120893065372e-01
6.328947368421052211e+00,5.263157894736841813e-01,7.677390771820516990e-01
6.368421052631578760e+00,5.263157894736841813e-01,7.836528585375902578e-01
6.407894736842105310e+00,5.263157894736841813e-01,7.983068917220547123e-01
6.447368421052631859e+00,5.263157894736841813e-01,8.125766282636285309e-01
6.486842105263157521e+00,5.263157894736841813e-01,8.242257567499591264e-01
6.526315789473684070e+00,5.263157894736841813e-01,8.361465089859191346e-01
6.565789473684210620e+00,5.263157894736841813e-01,8.469273181225942526e-01
6.605263157894737169e+00,5.263157894736841813e-01,8.566299786019009321e-01
6.644736842105262831e+00,5.263157894736841813e-01,8.664354907561815367e-01
6.684210526315789380e+00,5.263157894736841813e-01,8.753928826563948107e-01
6.723684210526315930e+00,5.263157894736841813e-01,8.825856161504277431e-01
6.763157894736842479e+00,5.263157894736841813e-01,8.906300626542947851e-01
6.802631578947368141e+00,5.263157894736841813e-01,8.966888410464743941e-01
6.842105263157894690e+00,5.263157894736841813e-01,8.994201292970738226e-01
6.881578947368421240e+00,5.263157894736841813e-01,8.956805940658375542e-01
6.921052631578946901e+00,5.263157894736841813e-01,8.924300808200358315e-01
6.960526315789473450e+00,5.263157894736841813e-01,8.882442819646472199e-01
7.000000000000000000e+00,5.263157894736841813e-01,8.845140871747693145e-01
6.250000000000000000e+00,5.789473684210526550e-01,7.279325591813584628e-01
6.289473684210526550e+00,5.789473684210526550e-01,7.465354445515370863e-01
6.328947368421052211e+00,5.789473684210526550e-01,7.642948791979874423e-01
6.368421052631578760e+00,5.789473684210526550e-01,7.800381636731211765e-01
6.407894736842105310e+00,5.789473684210526550e-01,7.952106714299224111e-01
6.447368421052631859e+00,5.789473684210526550e-01,8.095231582709492280e-01
6.486842105263157521e+00,5.789473684210526550e-01,8.217077640744991918e-01
6.526315789473684070e+00,5.789473684210526550e-01,8.340615794114971671e-01
6.565789473684210620e+00,5.789473684210526550e-01,8.452577107004763945e-01
6.605263157894737169e+00,5.789473684210526550e-01,8.551960936070939212e-01
6.644736842105262831e+00,5.789473684210526550e-01,8.649688760919576058e-01
6.684210526315789380e+00,5.789473684210526550e-01,8.739734653593647096e-01
6.723684210526315930e+00,5.789473684210526550e-01,8.813315356653317334e-01
6.763157894736842479e+00,5.789473684210526550e-01,8.894294946239855726e-01
6.802631578947368141e+00,5.789473684210526550e-01,8.956925625192830864e-01
6.842105263157894690e+00,5.789473684210526550e-01,8.997090194846000255e-01
6.881578947368421240e+00,5.789473684210526550e-01,8.958598500317409563e-01
6.921052631578946901e+00,5.789473684210526550e-01,8.925921604717579338e-01
6.960526315789473450e+00,5.789473684210526550e-01,8.884101141398872414e-01
7.000000000000000000e+00,5.789473684210526550e-01,8.846029766218681534e-01
6.250000000000000000e+00,6.315789473684210176e-01,7.202023332807639955e-01
6.289473684210526550e+00,6.315789473684210176e-01,7.401109844126911863e-01
6.328947368421052211e+00,6.315789473684210176e-01,7.564716160446876003e-01
6.368421052631578760e+00,6.315789473684210176e-01,7.741126163967353424e-01
6.407894736842105310e+00,6.315789473684210176e-01,7.896310929082309693e-01
6.447368421052631859e+00,6.315789473684210176e-01,8.041489399815958672e-01
6.486842105263157521e+00,6.315789473684210176e-01,8.186609813351451992e-01
6.526315789473684070e+00,6.315789473684210176e-01,8.308062873799375581e-01
6.565789473684210620e+00,6.315789473684210176e-01,8.410911963107055023e-01
6.605263157894737169e+00,6.315789473684210176e-01,8.524420965912333781e-01
6.644736842105262831e+00,6.315789473684210176e-01,8.621333718444725847e-01
6.684210526315789380e+00,6.315789473684210176e-01,8.712394751316846486e-01
